"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"SUMO1P3",119.412690857414,0.629860025161848,0.233966404518637,0.00215090846805703,0.0113817243703958,"Upregulated"
"SUOX",201.265396682413,-0.601328578493448,0.258865990186811,0.00607990338079077,0.025766564278225,"Downregulated"
"SUPT4H1",207.775109921774,0.484194707243534,0.216949941317696,0.0114649000039041,0.0422842314152611,"Upregulated"
"SURF4",1404.71335321269,0.723974035047925,0.188071514808628,3.10586985069342e-05,0.0003588842049623,"Upregulated"
"SURF6",776.132049676663,-0.648099892333122,0.197149455695463,0.000319824993244482,0.00246538968891569,"Downregulated"
"SYCP2",38.2250353792227,-2.62018029107775,0.683998854645324,6.73024807210362e-06,0.000101924544476026,"Downregulated"
"SYDE1",68.931254379287,-3.49713319949534,0.653814441736297,5.05895061894676e-09,2.51077249672361e-07,"Downregulated"
"SYDE2",61.9022774872252,-2.66517500154136,0.628141806720713,1.12842065237397e-06,2.29888840762807e-05,"Downregulated"
"SYF2",1839.61119937482,0.436611553735811,0.19189313141742,0.0118942603626784,0.0434675795071864,"Upregulated"
"SYNE1",1639.87712407023,-1.09226043474151,0.210450244468701,2.95658187310805e-08,1.08808571170964e-06,"Downregulated"
"SYNE3",1253.53582032236,-0.633597251500139,0.294075253584989,0.00804709364538112,0.0321301711510516,"Downregulated"
"SYNGAP1",1395.83056156357,0.397508832870151,0.168101164140828,0.0115520178877664,0.0425505127234927,"Upregulated"
"SYNGR2",497.596033493331,0.471835589605472,0.167870560596839,0.00244312454306329,0.0125779754228165,"Upregulated"
"SYNJ2-IT1",30.1513015642431,2.22391063274705,0.483454368928417,2.15055399279334e-07,5.90729221166492e-06,"Upregulated"
"SYNJ2BP",372.037593255687,-0.762400758577843,0.171872947370956,2.25628447013797e-06,4.07727519931056e-05,"Downregulated"
"SYNRG",790.604758202801,-1.13821539196061,0.172936188089311,6.49031744585981e-12,8.54375403469222e-10,"Downregulated"
"SYTL3",312.748189081643,1.72932702160959,0.459443371281535,1.04210911227423e-05,0.000147600873273201,"Upregulated"
"SYTL4",321.007842690023,-2.16381723261793,0.43509394438588,4.02203311593119e-08,1.41565943636614e-06,"Downregulated"
"SZRD1",1575.65571128161,0.471143042661511,0.150754104143966,0.000948733208342449,0.005867608021093,"Upregulated"
"SZT2",1561.23079487513,-0.895921874057311,0.223418522288508,1.11366472249583e-05,0.000155449791158819,"Downregulated"
"TAB1",397.908177309612,-0.751472716706662,0.167958021894709,1.98232582951977e-06,3.66344945146565e-05,"Downregulated"
"TACC1",3872.3098772637,0.71444364533157,0.149341796524793,5.44333875462094e-07,1.25036048466883e-05,"Upregulated"
"TACO1",156.592789908029,0.462367116628787,0.203334655952311,0.0110145508846339,0.0409854336352988,"Upregulated"
"TADA2A",199.503587807309,-0.775354423033713,0.213834021954371,6.69883404429731e-05,0.00067552826753129,"Downregulated"
"TAF10",475.962783118083,0.311248354901362,0.128199651606129,0.0109161104177915,0.0406831474298555,"Upregulated"
"TAF13",110.359499727875,0.583317120913727,0.188909005424258,0.000718380020888954,0.00468329039903721,"Upregulated"
"TAF1A",73.7474407148845,-1.00564266920468,0.445171643361342,0.00277581478612135,0.0139058894715734,"Downregulated"
"TAF1D",2066.46080928064,0.385589743303464,0.148961757127521,0.00629356360263938,0.0264688508065784,"Upregulated"
"TAF4",497.421503982921,-0.658899279106054,0.162813513645626,1.73187251780571e-05,0.00022384844710883,"Downregulated"
"TAF5L",568.67190760802,0.500355459469954,0.136581443403067,0.00011796788916682,0.00107668505989962,"Upregulated"
"TAF6L",93.4767034116575,-0.684458564890267,0.295202500972376,0.00518023959604649,0.0226608998484518,"Downregulated"
"TAF9",410.335375052666,0.74248787290611,0.19066080592672,2.47377658267675e-05,0.000300452368057823,"Upregulated"
"TAGAP",1099.77377439697,0.785806508449609,0.255395575021595,0.000445052417496125,0.0032095162328745,"Upregulated"
"TAGLN2",2194.29938448775,0.905673648486891,0.152577023903785,5.28448286702045e-10,3.77304004108842e-08,"Upregulated"
"TAGLN2P1",659.912990759145,1.13194180802407,0.196325277923389,1.04942213684261e-09,6.73588122545912e-08,"Upregulated"
"TANGO2",237.848426841147,-0.647670254070531,0.235539881591058,0.00170576489888447,0.00949601649792125,"Downregulated"
"TANGO6",285.774558284025,-0.728107728330045,0.281244674836462,0.00226164018619081,0.0118322985344798,"Downregulated"
"TANK",717.008743609532,0.615526799227902,0.184478073486053,0.000287515918174079,0.00225183519803799,"Upregulated"
"TAOK1",2157.25150735811,-0.783141264254572,0.129175038998203,4.1558605360229e-10,3.03928381850256e-08,"Downregulated"
"TAOK3",5215.43375986043,-0.502221764605567,0.161820162842274,0.000857781654429082,0.00542268838280195,"Downregulated"
"TAP1",831.31306246408,1.41790370387012,0.272320771631854,1.91197194081729e-08,7.48731712201515e-07,"Upregulated"
"TAP2",398.145026734905,0.503296297088274,0.219503159479308,0.00919936681078943,0.0357792645984181,"Upregulated"
"TAPBP",4670.32805766552,0.728930570595278,0.198460925593725,6.79052826546222e-05,0.000682272328131337,"Upregulated"
"TAPT1",959.891443169402,0.474487505348808,0.170666214486183,0.00268193865533977,0.0135346553255174,"Upregulated"
"TAPT1-AS1",140.048044510716,-0.747568415550371,0.307932801672724,0.00331594352720663,0.0159442937850764,"Downregulated"
"TARBP1",1935.34096670633,-0.73024991497087,0.222628501987454,0.00026032729724908,0.00207788294674604,"Downregulated"
"TARBP2",176.668025528268,0.612055232480846,0.216826900278373,0.00159415779358386,0.00897395471105283,"Upregulated"
"TARS",1634.42268299246,0.518281974749968,0.120204966993275,7.42058547595194e-06,0.000110233054904484,"Upregulated"
"TARSL2",455.623286217142,-0.52992595277439,0.182028161051862,0.00151992236317696,0.00861557847003887,"Downregulated"
"TAS2R12",16.7228293632267,-2.61397023288032,0.680508826877427,6.31868280099702e-06,9.7066085074921e-05,"Downregulated"
"TAS2R14",19.8819294554606,-2.37126702361668,0.725483340112098,5.59021190386585e-05,0.000582259867990605,"Downregulated"
"TAS2R31",36.735768362702,-1.2326797421948,0.627310510213081,0.00357362548034117,0.0169311884953152,"Downregulated"
"TAS2R4",27.123635560594,-2.12774500141768,0.609745717067315,2.75915823121989e-05,0.000327282200155056,"Downregulated"
"TAX1BP1",1636.06616261648,0.502802921905089,0.10722194998126,1.32154008816607e-06,2.63584097072097e-05,"Upregulated"
"TBC1D19",77.3145091022887,-0.797021122089245,0.348660133033202,0.00410634295569147,0.018829540996985,"Downregulated"
"TBC1D2",157.58636702756,-0.670559509507647,0.225193502242056,0.000814274929103058,0.00518789533199577,"Downregulated"
"TBC1D24",214.734197788829,-0.741708845861348,0.191895172622342,2.84015654556536e-05,0.000334966223047968,"Downregulated"
"TBC1D2B",667.827685060329,-0.713486958850714,0.16204098799173,2.82564568876195e-06,4.94430211367926e-05,"Downregulated"
"TBC1D31",439.371382527141,-0.555518183744615,0.14908728838047,7.82599144892925e-05,0.000764855463538128,"Downregulated"
"TBC1D32",179.222526452285,-0.821694870406497,0.283333034849047,0.000721062750470685,0.00469597490275862,"Downregulated"
"TBC1D4",283.190102660801,-0.531244326979373,0.252261477089383,0.0133804565454686,0.0475851522989617,"Downregulated"
"TBC1D5",1690.60487963319,-0.357895941657013,0.137340795611832,0.00676893265316025,0.0280272790935232,"Downregulated"
"TBC1D8",63.3290861489304,-1.36726303739187,0.657089377933698,0.00230358216624201,0.0120186590277133,"Downregulated"
"TBC1D8B",61.2688838925086,-1.43122702015759,0.480467943544733,0.000227613420149526,0.00186103605304292,"Downregulated"
"TBC1D9",47.4827625809685,-2.02510516835594,0.804104343505353,0.00053023961861622,0.00369311786462327,"Downregulated"
"TBCB",330.316770651919,0.579964070242482,0.125275414354057,1.44993832052958e-06,2.82928101245413e-05,"Upregulated"
"TBCC",421.536289213365,0.496175795313851,0.197437915667934,0.00532471961261596,0.023162665666166,"Upregulated"
"TBCCD1",134.128202982085,-0.487624123605558,0.216339329154554,0.0108077053646433,0.0404267239136919,"Downregulated"
"TBCE",191.774315180029,-0.49163574653541,0.230196677457815,0.0142191027785768,0.0499346410526953,"Downregulated"
"TBCEL",273.677959678613,-1.06859328326986,0.21145943643885,6.16228447665372e-08,2.04370492730572e-06,"Downregulated"
"TBCK",451.448360115728,-0.777018965989276,0.215625185955626,7.39246776796124e-05,0.000730411668089611,"Downregulated"
"TBL1X",356.268850367032,-0.513930097372237,0.231847470775783,0.0108770294588655,0.0405795956244965,"Downregulated"
